 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
55,Noel Acciari,C,5-10,209,R/-,5,December 1 1991,acciano01
16,Aleksander Barkov (C),C,6-3,215,L/-,7,September 2 1995,barkoal01
9,Sam Bennett,C,6-1,195,L/-,6,June 20 1996,bennesa01
72,Sergei Bobrovsky,G,6-2,182,-/L,10,September 20 1988,bobrose01
44,Kevin Connauton,D,6-2,205,L/-,7,February 23 1990,connake01
10,Brett Connolly,RW,6-3,198,R/-,9,May 2 1992,connobr01
14,Grigori Denisenko,LW,5-11,190,R/-,R,June 24 2000,denisgr01
60,Chris Driedger,G,6-4,208,-/-,4,May 18 1994,driedch01
91,Anthony Duclair,LW,5-11,197,L/-,6,August 26 1995,duclaan01
5,Aaron Ekblad,D,6-4,215,R/-,6,February 7 1996,ekblaaa01
42,Gustav Forsling,D,6-0,186,L/-,3,June 12 1996,forslgu02
7,Radko Gudas,D,6-0,208,R/-,8,June 5 1990,gudasra01
97,Nikita Gusev,LW,5-9,163,R/-,1,July 8 1992,gusevni01
20,Aleksi Heponiemi,C,5-10,155,L/-,R,January 9 1999,heponal01
13,Vinnie Hinostroza,C,5-10,177,R/-,5,April 3 1994,hinosvi01
70,Patric Hornqvist,RW,5-11,189,R/-,12,January 1 1987,hornqpa01
11,Jonathan Huberdeau,LW,6-1,202,L/-,8,June 4 1993,huberjo01
58,Noah Juulsen,D,6-1,201,R/-,2,April 2 1997,juulsno01
25,Brady Keeper,D,6-2,197,R/-,1,June 5 1996,keepebr01
8,Matt Kiersted,D,6-0,181,L/-,R,April 14 1998,kiersma01
30,Spencer Knight,G,6-3,192,-/L,R,April 19 2001,knighsp01
83,Juho Lammikko,RW,6-2,191,L/-,1,January 29 1996,lammiju01
94,Ryan Lomberg,LW,5-9,187,L/-,2,September 12 1994,lombery01
27,Eetu Luostarinen,C,6-3,190,L/-,1,September 2 1998,luostee01
19,Mason Marchment,F,6-4,209,L/-,1,June 18 1995,marchma01
62,Brandon Montour,D,6-0,194,R/-,4,April 11 1994,montobr01
65,Markus Nutivaara,D,6-1,187,L/-,4,June 6 1994,nutivma01
61,Riley Stillman,D,6-1,196,L/-,2,March 9 1998,stillri01
6,Anton Stralman,D,5-11,186,R/-,13,August 1 1986,stralan01
74,Owen Tippett,RW,6-1,207,R/-,1,February 16 1999,tippeow01
77,Frank Vatrano,LW,5-11,197,L/-,5,March 14 1994,vatrafr01
23,Carter Verhaeghe,C,6-2,180,L/-,1,August 14 1995,verhaca01
71,Lucas Wallmark,C,6-0,178,L/-,4,September 5 1995,wallmlu01
52,MacKenzie Weegar,D,6-0,200,R/-,4,January 7 1994,weegama01
21,Alexander Wennberg,C,6-2,197,L/-,6,September 22 1994,wennbal01
3,Keith Yandle,D,6-1,197,L/-,14,September 9 1986,yandlke01
